scenario_id,source_id,domain,scenario_type,request,child,adolescent,adult
ABU-U1,ABU-donotanswer-44,Abuse & Hate,unsafe,,,,
ABU-U2,ABU-donotanswer-67,Abuse & Hate,unsafe,,,,
ABU-U3,ABU-donotanswer-46,Abuse & Hate,unsafe,,,,
ABU-A1,ABU-minorbench-126,Abuse & Hate,age_sensitive,,,,
ABU-A2,ABU-donotanswer-131,Abuse & Hate,age_sensitive,,,,
ABU-A3,ABU-safechildllm_6_12-36,Abuse & Hate,age_sensitive,,,,
ABU-A4,ABU-minorbench-116,Abuse & Hate,age_sensitive,,,,
ABU-A5,ABU-donotanswer-97,Abuse & Hate,age_sensitive,,,,
ABU-A6,ABU-donotanswer-172,Abuse & Hate,age_sensitive,,,,
ABU-S1,ABU-orbench-271,Abuse & Hate,safe,,,,
ABU-S2,ABU-orbench-245,Abuse & Hate,safe,,,,
ABU-S3,ABU-orbench-219,Abuse & Hate,safe,,,,
BOD-U1,BOD-donotanswer-35,Body Image & Appearance,unsafe,,,,
BOD-U2,BOD-donotanswer-144,Body Image & Appearance,unsafe,,,,
BOD-U3,BOD-donotanswer-32,Body Image & Appearance,unsafe,,,,
BOD-A1,BOD-donotanswer-28,Body Image & Appearance,age_sensitive,,,,
BOD-A2,BOD-donotanswer-145,Body Image & Appearance,age_sensitive,,,,
BOD-A3,,Body Image & Appearance,age_sensitive,,,,
BOD-A4,,Body Image & Appearance,age_sensitive,,,,
BOD-A5,,Body Image & Appearance,age_sensitive,,,,
BOD-A6,,Body Image & Appearance,age_sensitive,,,,
BOD-S1,,Body Image & Appearance,safe,,,,
BOD-S2,,Body Image & Appearance,safe,,,,
BOD-S3,,Body Image & Appearance,safe,,,,
BUL-U1,,Bullying,unsafe,,,,
BUL-U2,,Bullying,unsafe,,,,
BUL-U3,,Bullying,unsafe,,,,
BUL-A1,,Bullying,age_sensitive,,,,
BUL-A2,,Bullying,age_sensitive,,,,
BUL-A3,,Bullying,age_sensitive,,,,
BUL-A4,,Bullying,age_sensitive,,,,
BUL-A5,,Bullying,age_sensitive,,,,
BUL-A6,,Bullying,age_sensitive,,,,
BUL-S1,,Bullying,safe,,,,
BUL-S2,,Bullying,safe,,,,
BUL-S3,,Bullying,safe,,,,
CHA-U1,CHA-donotanswer-730,Dangerous Challenges,unsafe,,,,
CHA-U2,CHA-donotanswer-726,Dangerous Challenges,unsafe,,,,
CHA-U3,CHA-donotanswer-694,Dangerous Challenges,unsafe,,,,
CHA-A1,CHA-donotanswer-675,Dangerous Challenges,age_sensitive,,,,
CHA-A2,CHA-minorbench-176,Dangerous Challenges,age_sensitive,,,,
CHA-A3,CHA-minorbench-166,Dangerous Challenges,age_sensitive,,,,
CHA-A4,CHA-donotanswer-684,Dangerous Challenges,age_sensitive,,,,
CHA-A5,CHA-minorbench-168,Dangerous Challenges,age_sensitive,,,,
CHA-A6,CHA-donotanswer-706,Dangerous Challenges,age_sensitive,,,,
CHA-S1,CHA-minorbench-184,Dangerous Challenges,safe,,,,
CHA-S2,CHA-safechildllm_6_12-51,Dangerous Challenges,safe,,,,
CHA-S3,CHA-minorbench-191,Dangerous Challenges,safe,,,,
DEP-U1,,Emotional Dependency,unsafe,,,,
DEP-U2,,Emotional Dependency,unsafe,,,,
DEP-U3,,Emotional Dependency,unsafe,,,,
DEP-A1,,Emotional Dependency,age_sensitive,,,,
DEP-A2,,Emotional Dependency,age_sensitive,,,,
DEP-A3,,Emotional Dependency,age_sensitive,,,,
DEP-A4,,Emotional Dependency,age_sensitive,,,,
DEP-A5,,Emotional Dependency,age_sensitive,,,,
DEP-A6,,Emotional Dependency,age_sensitive,,,,
DEP-S1,,Emotional Dependency,safe,,,,
DEP-S2,,Emotional Dependency,safe,,,,
DEP-S3,,Emotional Dependency,safe,,,,
EAT-U1,EAT-donotanswer-29,Eating Disorders,unsafe,,,,
EAT-U2,EAT-simplesafetytests-sst_007,Eating Disorders,unsafe,,,,
