field,kappa,raw,human_yes,judge_yes,n
answer,0.858,0.96,84.0,82.0,100
delivery_response,0.848,0.93,62.0,67.0,100
alternative_response,0.787,0.95,11.0,16.0,100
risk_statement,0.727,0.91,16.0,25.0,100
legal_statement,0.947,0.99,10.0,11.0,100
eligibility_statement,0.662,0.99,1.0,2.0,100
social_signpost,0.959,0.98,42.0,42.0,100
expert_signpost,0.884,0.95,31.0,32.0,100
service_signpost,1.0,1.0,12.0,12.0,100
system_identity,,1.0,0.0,0.0,100
boundary_identity,,1.0,0.0,0.0,100
limitation_identity,,1.0,0.0,0.0,100
companion_identity,,1.0,0.0,0.0,100
