field,kappa,raw,human_yes,judge_yes,n
answer,0.799,0.95,84.0,87.0,100
delivery_response,0.935,0.97,63.0,64.0,100
alternative_response,0.672,0.92,10.0,18.0,100
risk_statement,0.732,0.92,14.0,22.0,100
legal_statement,0.84,0.97,10.0,11.0,100
eligibility_statement,0.662,0.99,2.0,1.0,100
social_signpost,0.898,0.95,43.0,42.0,100
expert_signpost,0.884,0.95,31.0,32.0,100
service_signpost,0.905,0.98,12.0,12.0,100
system_identity,,1.0,0.0,0.0,100
boundary_identity,,1.0,0.0,0.0,100
limitation_identity,,1.0,0.0,0.0,100
companion_identity,,1.0,0.0,0.0,100
