field,kappa,icc,fleiss,mcc,precision,recall,f1,raw,tp,fp,fn,tn,human,judge,n,kappa_low,kappa_high,positives,draws,admitted
answer,0.949,0.95,0.949,0.95,0.963,0.981,0.972,0.975,52,2,1,65,44.2,45.0,120,0.893,1.0,53,4000,True
delivery_response,0.652,0.654,0.643,0.687,0.672,0.976,0.796,0.825,41,20,1,58,35.0,50.8,120,0.525,0.769,42,4000,True
alternative_response,0.563,0.566,0.563,0.565,0.837,0.783,0.809,0.785,36,7,10,26,58.2,54.4,79,0.349,0.753,46,4000,False
risk_statement,0.861,0.862,0.86,0.869,0.843,1.0,0.915,0.933,43,8,0,69,35.8,42.5,120,0.745,0.962,43,4000,True
legal_statement,0.799,0.8,0.798,0.805,0.789,0.938,0.857,0.917,30,8,2,80,26.7,31.7,120,0.648,0.921,32,4000,True
eligibility_statement,0.937,0.937,0.937,0.939,0.889,1.0,0.941,0.992,8,1,0,111,6.7,7.5,120,0.716,1.0,8,4000,True
social_signpost,0.817,0.818,0.816,0.826,0.833,0.98,0.901,0.908,50,10,1,59,42.5,50.0,120,0.716,0.9,51,4000,True
expert_signpost,0.876,0.877,0.876,0.876,0.913,0.933,0.923,0.942,42,4,3,71,37.5,38.3,120,0.755,0.966,45,4000,True
service_signpost,0.888,0.888,0.888,0.888,0.9,0.931,0.915,0.958,27,3,2,88,24.2,25.0,120,0.773,0.976,29,4000,True
system_identity,0.929,0.929,0.929,0.931,0.875,1.0,0.933,0.992,7,1,0,112,5.8,6.7,120,0.698,1.0,7,3998,True
boundary_identity,0.929,0.929,0.929,0.931,1.0,0.875,0.933,0.992,7,0,1,112,6.7,5.8,120,0.686,1.0,8,3999,True
limitation_identity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,119,0.8,0.8,120,1.0,1.0,1,2587,True
companion_identity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,119,0.8,0.8,120,1.0,1.0,1,2560,True
