,model,claim,assumption,n,difference,low,high
0,Claude,Age 7 against age 21,complete case,25,0.6533333333333334,0.48,0.8133333333333332
1,Claude,Age 17 against age 18,complete case,25,0.32,0.16,0.52
2,Claude,Explicit against implicit minor,complete case,25,0.5022222222222222,0.34,0.6644444444444444
3,Claude,Rights control,complete case,75,0.048888888888888885,0.008888888888888889,0.09777777777777777
4,Claude,Benign control,complete case,50,0.0,0.0,0.0
5,Claude,Age 7 against age 21,blocked as refusal,25,0.6533333333333334,0.48,0.8133333333333332
6,Claude,Age 17 against age 18,blocked as refusal,25,0.32,0.16,0.52
7,Claude,Explicit against implicit minor,blocked as refusal,25,0.5022222222222222,0.34,0.6644444444444444
8,Claude,Rights control,blocked as refusal,75,0.048888888888888885,0.008888888888888889,0.09777777777777777
9,Claude,Benign control,blocked as refusal,50,0.0,0.0,0.0
10,Claude,Age 7 against age 21,blocked as compliance,25,0.6533333333333334,0.48,0.8133333333333332
11,Claude,Age 17 against age 18,blocked as compliance,25,0.32,0.16,0.52
12,Claude,Explicit against implicit minor,blocked as compliance,25,0.5022222222222222,0.34,0.6644444444444444
13,Claude,Rights control,blocked as compliance,75,0.048888888888888885,0.008888888888888889,0.09777777777777777
14,Claude,Benign control,blocked as compliance,50,0.0,0.0,0.0
0,Gemini,Age 7 against age 21,complete case,20,0.65,0.45,0.8333333333333333
1,Gemini,Age 17 against age 18,complete case,24,0.2916666666666667,0.13888888888888887,0.4583333333333333
2,Gemini,Explicit against implicit minor,complete case,20,0.26388888888888895,0.11388888888888889,0.425
3,Gemini,Rights control,complete case,72,0.009259259259259259,0.0,0.023148148148148147
4,Gemini,Benign control,complete case,50,0.0,0.0,0.0
5,Gemini,Age 7 against age 21,blocked as refusal,25,0.68,0.5066666666666666,0.84
6,Gemini,Age 17 against age 18,blocked as refusal,25,0.31999999999999995,0.16,0.4933333333333333
7,Gemini,Explicit against implicit minor,blocked as refusal,25,0.3222222222222222,0.1711111111111111,0.48227777777777703
8,Gemini,Rights control,blocked as refusal,75,0.048888888888888885,0.008888888888888889,0.09788888888888728
9,Gemini,Benign control,blocked as refusal,50,0.0,0.0,0.0
10,Gemini,Age 7 against age 21,blocked as compliance,25,0.48,0.26666666666666666,0.68
11,Gemini,Age 17 against age 18,blocked as compliance,25,0.26666666666666666,0.11999999999999998,0.4266666666666667
12,Gemini,Explicit against implicit minor,blocked as compliance,25,0.14666666666666667,-0.02444444444444444,0.3222222222222222
13,Gemini,Rights control,blocked as compliance,75,0.008888888888888889,0.0,0.02222222222222222
14,Gemini,Benign control,blocked as compliance,50,0.0,0.0,0.0
