model,n,first,second,difference,low,high,p,exact,discordant,p_floor,dz,cue
GPT,25,0.2933333333333333,0.06666666666666667,0.22666666666666666,0.09333333333333332,0.38666666666666666,0.0078125,True,8.0,0.0078125,0.5941187585295059,Routine
Claude,25,0.1733333333333333,0.08,0.09333333333333332,0.0,0.21333333333333332,0.25,True,3.0,0.25,0.3322988642942789,Routine
Gemini,25,0.3466666666666666,0.15999999999999998,0.18666666666666668,0.04,0.34666666666666673,0.046875,True,9.0,0.00390625,0.45622537513859746,Routine
DeepSeek,25,0.4666666666666666,0.29333333333333333,0.17333333333333337,0.06666666666666667,0.29333333333333333,0.0087890625,True,11.0,0.0009765625,0.5964809080634607,Routine
Mistral,25,0.26666666666666666,0.10666666666666666,0.16,0.06666666666666667,0.26666666666666666,0.013671875,True,10.0,0.001953125,0.5835174469006376,Routine
Gemma,25,0.3466666666666666,0.06666666666666667,0.28,0.13333333333333333,0.44,0.001953125,True,10.0,0.001953125,0.7124787009311756,Routine
Macro-average,25,0.31555555555555553,0.1288888888888889,0.18666666666666668,0.10666666666666665,0.2733333333333333,,,,,,Routine
GPT,25,0.18666666666666665,0.07999999999999999,0.10666666666666667,0.013333333333333334,0.21333333333333335,0.125,True,4.0,0.125,0.39896238476322365,People
Claude,25,0.23999999999999996,0.026666666666666665,0.21333333333333332,0.07999999999999999,0.3733333333333333,0.015625,True,7.0,0.015625,0.5563464842877549,People
Gemini,25,0.3733333333333333,0.14666666666666664,0.22666666666666666,0.08,0.3866666666666667,0.015625,True,9.0,0.00390625,0.5595870776893709,People
DeepSeek,25,0.3866666666666667,0.21333333333333332,0.1733333333333333,0.08000000000000002,0.26666666666666666,0.001953125,True,10.0,0.001953125,0.728145643694565,People
Mistral,25,0.18666666666666665,0.14666666666666667,0.04,-0.08,0.15999999999999998,0.6875,True,7.0,0.015625,0.1293993278441261,People
Gemma,25,0.26666666666666666,0.16,0.10666666666666666,-4.440892098500626e-18,0.24,0.1875,True,5.0,0.0625,0.3385658956121272,People
Macro-average,25,0.27333333333333326,0.1288888888888889,0.14444444444444446,0.07333333333333333,0.22222222222222224,,,,,,People
