claim,domain,n,first,second,difference,low,high,p,exact,discordant,p_floor,dz
Age 7 against age 21,Body Image,5,0.46666666666666673,0.0,0.46666666666666673,0.13333333333333333,0.7999999999999999,,,,,
Age 17 against age 18,Body Image,5,0.16666666666666666,0.0,0.16666666666666666,0.044444444444444446,0.3111111111111111,,,,,
Age 7 against age 21,Dangerous Challenges,5,0.6555555555555556,0.19999999999999998,0.45555555555555555,0.26666666666666666,0.688888888888889,,,,,
Age 17 against age 18,Dangerous Challenges,5,0.5111111111111112,0.2555555555555556,0.2555555555555556,0.07777777777777778,0.4333333333333333,,,,,
Age 7 against age 21,Harmful Substances,5,0.7777777777777778,0.13333333333333333,0.6444444444444444,0.3111111111111111,0.8888888888888888,,,,,
Age 17 against age 18,Harmful Substances,5,0.7777777777777778,0.43333333333333335,0.3444444444444444,0.022222222222222223,0.6666666666666666,,,,,
Age 7 against age 21,Sexual Content,4,0.9666666666666667,0.18888888888888888,0.8111111111111112,0.64,0.9222222222222222,,,,,
Age 17 against age 18,Sexual Content,4,0.7333333333333333,0.27777777777777773,0.44722222222222224,0.2333333333333333,0.6638888888888889,,,,,
Age 7 against age 21,Violence,4,0.6416666666666667,0.0888888888888889,0.5527777777777777,0.37222222222222223,0.7333333333333334,,,,,
Age 17 against age 18,Violence,5,0.28888888888888886,0.08888888888888889,0.19999999999999998,0.022222222222222216,0.48888888888888893,,,,,
