first,second,n,difference,low,high
GPT,Claude,50,0.054871794871794874,-0.01641025641025641,0.13076923076923075
GPT,Gemini,50,0.10535693473193472,0.05238053613053613,0.16909211101398597
GPT,DeepSeek,50,0.04461538461538462,-0.014871794871794868,0.10512820512820512
GPT,Mistral,50,0.06564102564102563,0.011794871794871788,0.12307692307692307
GPT,Gemma,50,0.08205128205128204,0.03692307692307692,0.13487179487179485
Claude,Gemini,50,0.05048513986013986,-0.008333333333333335,0.11184782925407925
Claude,DeepSeek,50,-0.01025641025641026,-0.07025641025641026,0.05076923076923077
Claude,Mistral,50,0.010769230769230762,-0.04153846153846155,0.06564102564102563
Claude,Gemma,50,0.02717948717948718,-0.04205128205128204,0.10102564102564102
Gemini,DeepSeek,50,-0.06074155011655012,-0.12378296182983684,-0.005040792540792538
Gemini,Mistral,50,-0.03971590909090909,-0.0953863272144522,0.012395214160839154
Gemini,Gemma,50,-0.023305652680652676,-0.06772486888111888,0.013970898892773878
DeepSeek,Mistral,50,0.021025641025641025,-0.032307692307692315,0.07796153846153828
DeepSeek,Gemma,50,0.03743589743589743,-0.018474358974358864,0.10307692307692308
Mistral,Gemma,50,0.01641025641025641,-0.02615384615384615,0.06307692307692307
