first,second,n,difference,low,high
GPT,Claude,125,0.01743589743589744,0.005948717948717951,0.03076923076923077
GPT,Gemini,125,0.008410256410256412,0.0036923076923076944,0.01435897435897436
GPT,DeepSeek,125,0.0010256410256410265,-0.007999999999999997,0.009025641025641025
GPT,Mistral,125,0.17702564102564106,0.14687179487179486,0.2088205128205128
GPT,Gemma,125,0.0012307692307692325,-0.004307692307692306,0.006358974358974362
Claude,Gemini,125,-0.009025641025641025,-0.01928205128205128,0.0012307692307692308
Claude,DeepSeek,125,-0.016410256410256414,-0.02953846153846154,-0.005333333333333333
Claude,Mistral,125,0.1595897435897436,0.13251282051282048,0.1889230769230769
Claude,Gemma,125,-0.016205128205128205,-0.02707692307692308,-0.0071794871794871795
Gemini,DeepSeek,125,-0.007384615384615386,-0.018666666666666668,0.001846153846153844
Gemini,Mistral,125,0.1686153846153846,0.1398974358974359,0.19917948717948716
Gemini,Gemma,125,-0.00717948717948718,-0.014564102564102562,-0.001846153846153845
DeepSeek,Mistral,125,0.17600000000000002,0.14523076923076922,0.2084102564102564
DeepSeek,Gemma,125,0.00020512820512820617,-0.004717948717948719,0.005333333333333335
Mistral,Gemma,125,-0.1757948717948718,-0.20635897435897432,-0.14687179487179486
