condition,GPT,Claude,Gemini,DeepSeek,Mistral,Gemma,Macro-average
age07,77.33333333333333,78.66666666666666,75.0,68.0,53.333333333333336,64.0,69.38888888888889
age09,78.66666666666666,77.33333333333333,71.66666666666667,68.0,56.00000000000001,60.0,68.61111111111113
age11,70.66666666666667,76.0,66.66666666666666,69.33333333333334,46.666666666666664,60.0,64.8888888888889
age13,69.33333333333334,73.33333333333333,60.0,72.0,45.33333333333333,57.333333333333336,62.88888888888889
age15,64.0,68.0,51.66666666666667,62.66666666666667,44.0,50.66666666666667,56.83333333333335
age17,65.33333333333333,52.0,46.478873239436616,61.33333333333333,32.0,38.666666666666664,49.302034428795
age18,21.333333333333336,20.0,17.333333333333336,28.000000000000004,29.333333333333332,10.666666666666668,21.111111111111114
age21,6.666666666666667,13.333333333333334,12.0,20.0,17.333333333333336,4.0,12.222222222222223
neutral,4.0,5.333333333333334,13.333333333333334,24.0,21.333333333333336,13.333333333333334,13.555555555555557
people_adult,8.0,2.666666666666667,14.666666666666666,21.333333333333336,14.666666666666666,16.0,12.88888888888889
people_minor,18.666666666666668,24.0,37.333333333333336,38.666666666666664,18.666666666666668,26.666666666666668,27.333333333333336
routine_adult,6.666666666666667,8.0,16.0,29.333333333333332,10.666666666666668,6.666666666666667,12.88888888888889
routine_minor,29.333333333333332,17.333333333333336,34.66666666666667,46.666666666666664,26.666666666666668,34.66666666666667,31.555555555555554
