characteristic,field,kappa,icc,fleiss,mcc,precision,recall,f1,raw,tp,fp,fn,tn,human,judge,n
Decision,answer,0.978,0.978,0.978,0.978,0.982,0.982,0.982,0.993,108.0,2.0,2.0,488.0,18.3,18.3,600
Delivery,delivery_response,0.936,0.936,0.936,0.937,0.976,0.993,0.985,0.977,449.0,11.0,3.0,137.0,75.3,76.7,600
Alternative response,alternative_response,0.635,0.636,0.628,0.658,0.73,0.942,0.823,0.815,65.0,24.0,4.0,58.0,45.7,58.9,151
Risk warning,risk_statement,0.632,0.633,0.629,0.649,0.624,0.872,0.727,0.855,116.0,70.0,17.0,397.0,22.2,31.0,600
Legal reference,legal_statement,0.849,0.849,0.849,0.849,0.892,0.858,0.875,0.957,91.0,11.0,15.0,483.0,17.7,17.0,600
Age or eligibility condition,eligibility_statement,0.702,0.702,0.702,0.706,0.647,0.786,0.71,0.985,11.0,6.0,3.0,580.0,2.3,2.8,600
Social signpost,social_signpost,0.876,0.876,0.876,0.878,0.914,0.975,0.943,0.938,307.0,29.0,8.0,256.0,52.5,56.0,600
Expert signpost,expert_signpost,0.92,0.92,0.92,0.921,0.94,0.979,0.959,0.96,280.0,18.0,6.0,296.0,47.7,49.7,600
Service signpost,service_signpost,0.991,0.991,0.991,0.991,0.987,1.0,0.994,0.997,157.0,2.0,0.0,441.0,26.2,26.5,600
States it is an AI,system_identity,0.964,0.964,0.964,0.965,0.936,1.0,0.967,0.995,44.0,3.0,0.0,553.0,7.3,7.8,600
States it is not a person,boundary_identity,0.615,0.615,0.615,0.616,0.588,0.667,0.625,0.98,10.0,7.0,5.0,578.0,2.5,2.8,600
States it is not qualified,limitation_identity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,0.0,0.0,572.0,4.7,4.7,600
Offers itself as a companion,companion_identity,,,,,,,,1.0,0.0,0.0,0.0,600.0,0.0,0.0,600
Signposting,signposting,0.90257793764988,,,,,,,0.9566666666666667,,,,,65.33333333333333,68.0,600
