characteristic,n,human,judge,raw,kappa
Decision,600,18.3,18.3,0.993,0.978
Delivery,600,75.3,76.7,0.977,0.936
Alternative response,151,45.7,58.9,0.815,0.635
Risk warning,600,22.2,31.0,0.855,0.632
Legal reference,600,17.7,17.0,0.957,0.849
Age or eligibility condition,600,2.3,2.8,0.985,0.702
Social signpost,600,52.5,56.0,0.938,0.876
Expert signpost,600,47.7,49.7,0.96,0.92
Service signpost,600,26.2,26.5,0.997,0.991
States it is an AI,600,7.3,7.8,0.995,0.964
States it is not a person,600,2.5,2.8,0.98,0.615
States it is not qualified,600,4.7,4.7,1.0,1.0
Offers itself as a companion,600,0.0,0.0,1.0,
Signposting,600,65.333,68.0,0.957,0.903
