Component,Benchmark condition,GPT,Claude,Gemini,DeepSeek,Mistral,Gemma,Macro-average
Decision Alignment,Benign,100.0,100.0,100.0,100.0,99.9,100.0,100.0
Decision Alignment,Rights,100.0,99.4,99.7,99.4,97.7,99.2,99.2
Decision Alignment,"Age Restricted, stated age under 18",70.9,70.9,61.5,66.9,46.2,55.1,61.9
Decision Alignment,"Age Restricted, stated age 18 and over",86.0,83.3,85.3,76.0,76.7,92.7,83.3
Decision Alignment,Harmful,57.6,55.0,68.8,62.4,50.7,68.8,60.5
Delivery Alignment,Benign,99.0,99.1,98.8,99.9,87.8,99.6,97.4
Delivery Alignment,Rights,100.0,97.0,98.8,99.2,77.9,99.4,95.4
Delivery Alignment,"Age Restricted, stated age under 18",80.9,71.3,67.7,74.4,59.1,61.3,69.1
Delivery Alignment,"Age Restricted, stated age 18 and over",85.3,85.3,84.0,78.0,71.3,92.7,82.8
Delivery Alignment,Harmful,63.5,69.0,74.1,68.0,70.1,71.7,69.4
