Scenario type,Contrast,System,Role,Effect (pp),95% CI,90% CI,q,Equivalent within plus or minus 5 pp
Benign,Age 7 against age 21,GPT,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 7 against age 21,Claude,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 7 against age 21,Gemini,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 7 against age 21,DeepSeek,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 7 against age 21,Mistral,planned control,-0.7,"[-2.0, 0.0]","[-2.0, 0.0]",1.000,yes
Benign,Age 7 against age 21,Gemma,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 7 against age 21,Macro-average,planned control,-0.1,"[-0.3, 0.0]","[-0.3, 0.0]",,yes
Benign,Age 17 against age 18,GPT,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 17 against age 18,Claude,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 17 against age 18,Gemini,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 17 against age 18,DeepSeek,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 17 against age 18,Mistral,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 17 against age 18,Gemma,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Benign,Age 17 against age 18,Macro-average,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",,yes
Rights,Age 7 against age 21,GPT,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Rights,Age 7 against age 21,Claude,planned control,+4.9,"[0.9, 9.8]","[1.3, 8.9]",0.375,no
Rights,Age 7 against age 21,Gemini,planned control,+0.9,"[0.0, 2.3]","[0.0, 2.3]",0.900,yes
Rights,Age 7 against age 21,DeepSeek,planned control,+1.3,"[-0.9, 4.4]","[-0.4, 4.0]",0.900,yes
Rights,Age 7 against age 21,Mistral,planned control,-0.9,"[-2.7, 0.9]","[-2.2, 0.4]",0.900,yes
Rights,Age 7 against age 21,Gemma,planned control,+1.3,"[0.0, 3.1]","[0.4, 2.7]",0.750,yes
Rights,Age 7 against age 21,Macro-average,planned control,+1.3,"[0.1, 2.8]","[0.2, 2.5]",,yes
Rights,Age 17 against age 18,GPT,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Rights,Age 17 against age 18,Claude,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Rights,Age 17 against age 18,Gemini,planned control,+0.4,"[0.0, 1.3]","[0.0, 1.3]",1.000,yes
Rights,Age 17 against age 18,DeepSeek,planned control,+0.0,"[0.0, 0.0]","[0.0, 0.0]",1.000,yes
Rights,Age 17 against age 18,Mistral,planned control,-2.7,"[-5.8, 0.0]","[-5.3, -0.4]",0.938,no
Rights,Age 17 against age 18,Gemma,planned control,+0.4,"[0.0, 1.3]","[0.0, 1.3]",1.000,yes
Rights,Age 17 against age 18,Macro-average,planned control,-0.3,"[-0.9, 0.2]","[-0.7, 0.1]",,yes
Age Restricted,Age 7 against age 21,GPT,primary,+70.7,"[54.7, 85.3]",,< 0.001,
Age Restricted,Age 7 against age 21,Claude,primary,+65.3,"[48.0, 81.3]",,< 0.001,
Age Restricted,Age 7 against age 21,Gemini,primary,+65.0,"[45.0, 83.3]",,< 0.001,
Age Restricted,Age 7 against age 21,DeepSeek,primary,+48.0,"[32.0, 64.0]",,< 0.001,
Age Restricted,Age 7 against age 21,Mistral,primary,+36.0,"[21.3, 50.7]",,< 0.001,
Age Restricted,Age 7 against age 21,Gemma,primary,+60.0,"[40.0, 80.0]",,< 0.001,
Age Restricted,Age 7 against age 21,Macro-average,primary,+57.5,"[44.9, 69.4]",,,
Age Restricted,Age 17 against age 18,GPT,primary,+44.0,"[26.7, 61.3]",,< 0.001,
Age Restricted,Age 17 against age 18,Claude,primary,+32.0,"[16.0, 52.0]",,0.008,
Age Restricted,Age 17 against age 18,Gemini,primary,+29.2,"[13.9, 45.8]",,0.005,
Age Restricted,Age 17 against age 18,DeepSeek,primary,+33.3,"[17.3, 50.7]",,0.001,
Age Restricted,Age 17 against age 18,Mistral,primary,+2.7,"[-4.0, 10.7]",,0.750,
Age Restricted,Age 17 against age 18,Gemma,primary,+28.0,"[13.3, 44.0]",,0.003,
Age Restricted,Age 17 against age 18,Macro-average,primary,+28.2,"[17.6, 39.7]",,,
Harmful,Age 7 against age 21,GPT,planned control,+0.7,"[-9.3, 10.7]","[-8.0, 8.7]",1.000,no
Harmful,Age 7 against age 21,Claude,planned control,+21.3,"[10.7, 32.7]","[12.0, 31.3]",0.004,no
Harmful,Age 7 against age 21,Gemini,planned control,-0.7,"[-8.3, 6.9]","[-6.9, 5.6]",1.000,no
Harmful,Age 7 against age 21,DeepSeek,planned control,-7.3,"[-16.7, 1.3]","[-15.3, 0.0]",0.519,no
Harmful,Age 7 against age 21,Mistral,planned control,-2.7,"[-13.3, 8.0]","[-12.0, 6.7]",1.000,no
Harmful,Age 7 against age 21,Gemma,planned control,-5.3,"[-16.0, 4.7]","[-14.0, 3.3]",0.794,no
Harmful,Age 7 against age 21,Macro-average,planned control,+1.0,"[-4.9, 7.1]","[-4.0, 6.0]",,no
Harmful,Age 17 against age 18,GPT,planned control,+5.3,"[0.0, 12.0]","[0.7, 10.7]",0.312,no
Harmful,Age 17 against age 18,Claude,planned control,+3.3,"[-3.3, 11.3]","[-2.7, 10.0]",0.753,no
Harmful,Age 17 against age 18,Gemini,planned control,+2.0,"[-4.7, 8.0]","[-3.3, 7.3]",0.834,no
Harmful,Age 17 against age 18,DeepSeek,planned control,+5.3,"[0.7, 10.7]","[1.3, 9.3]",0.312,no
Harmful,Age 17 against age 18,Mistral,planned control,-0.0,"[-8.7, 8.7]","[-7.3, 7.3]",1.000,no
Harmful,Age 17 against age 18,Gemma,planned control,+4.7,"[0.7, 10.0]","[1.3, 9.3]",0.312,no
