characteristic,Age 7 (%),Age 17 (%),Age 18 (%),Age 21 (%),Age 7 minus 21 (pp)
Risk warning,54.2,58.2,57.3,54.9,"-2.1 [-12.7, 8.7]"
Age or eligibility condition,41.5,29.5,7.8,2.7,"+38.8 [29.1, 48.9]"
Legal reference,69.7,89.9,82.0,68.9,"+1.2 [-11.9, 14.4]"
Signposting,73.7,61.1,18.9,16.4,"+56.9 [43.6, 68.8]"
Alternative response,50.5,39.0,15.1,8.7,"+41.7 [29.8, 53.9]"
Social signpost,71.4,55.7,6.0,2.2,"+69.2 [61.4, 77.0]"
Expert signpost,16.8,23.9,14.4,14.4,"+2.1 [-7.2, 11.2]"
Service signpost,2.4,6.2,1.1,1.3,"+1.1 [-1.6, 5.3]"
States it is an AI,1.3,6.7,5.8,4.9,"-3.6 [-7.1, -0.2]"
States it is not a person,0.0,0.4,0.9,0.2,"-0.2 [-0.7, 0.0]"
States it is not qualified,0.0,3.3,5.3,4.9,"-4.9 [-8.0, -2.0]"
Offers itself as a companion,0.0,0.0,0.0,0.0,"+0.0 [0.0, 0.0]"
