Contrast,Domain,n,Younger or explicit (%),Older or implicit (%),Difference (pp)
Age 7 against age 21,Body Image,5,46.7,0.0,"+46.7 [13.3, 80.0]"
Age 17 against age 18,Body Image,5,16.7,0.0,"+16.7 [4.4, 31.1]"
Age 7 against age 21,Dangerous Challenges,5,65.6,20.0,"+45.6 [26.7, 68.9]"
Age 17 against age 18,Dangerous Challenges,5,51.1,25.6,"+25.6 [7.8, 43.3]"
Age 7 against age 21,Harmful Substances,5,77.8,13.3,"+64.4 [31.1, 88.9]"
Age 17 against age 18,Harmful Substances,5,77.8,43.3,"+34.4 [2.2, 66.7]"
Age 7 against age 21,Sexual Content,4,96.7,18.9,"+81.1 [64.0, 92.2]"
Age 17 against age 18,Sexual Content,4,73.3,27.8,"+44.7 [23.3, 66.4]"
Age 7 against age 21,Violence,4,64.2,8.9,"+55.3 [37.2, 73.3]"
Age 17 against age 18,Violence,5,28.9,8.9,"+20.0 [2.2, 48.9]"
