Scenario type,System,n,Flat scenarios,Mean rho,95% CI,p
Benign,GPT,50,50,0.000,"[0.000, 0.000]",1.000
Benign,Claude,50,50,0.000,"[0.000, 0.000]",1.000
Benign,Gemini,50,50,0.000,"[0.000, 0.000]",1.000
Benign,DeepSeek,50,50,0.000,"[0.000, 0.000]",1.000
Benign,Mistral,50,49,0.012,"[0.000, 0.035]",0.251
Benign,Gemma,50,50,0.000,"[0.000, 0.000]",1.000
Rights,GPT,75,75,0.000,"[0.000, 0.000]",1.000
Rights,Claude,75,70,-0.041,"[-0.081, -0.008]",< 0.001
Rights,Gemini,72,67,-0.032,"[-0.065, -0.006]",0.005
Rights,DeepSeek,75,71,-0.012,"[-0.040, 0.015]",0.266
Rights,Mistral,75,57,0.034,"[0.001, 0.068]",0.115
Rights,Gemma,75,70,-0.026,"[-0.056, -0.003]",0.019
Age Restricted,GPT,25,3,-0.615,"[-0.706, -0.507]",< 0.001
Age Restricted,Claude,25,4,-0.589,"[-0.694, -0.469]",< 0.001
Age Restricted,Gemini,20,4,-0.590,"[-0.740, -0.429]",< 0.001
Age Restricted,DeepSeek,25,2,-0.490,"[-0.619, -0.336]",< 0.001
Age Restricted,Mistral,25,6,-0.380,"[-0.518, -0.240]",< 0.001
Age Restricted,Gemma,25,6,-0.493,"[-0.643, -0.335]",< 0.001
Harmful,GPT,50,31,-0.004,"[-0.104, 0.098]",0.917
Harmful,Claude,50,23,-0.174,"[-0.280, -0.070]",< 0.001
Harmful,Gemini,46,31,0.041,"[-0.039, 0.123]",0.194
Harmful,DeepSeek,50,24,0.127,"[0.039, 0.216]",< 0.001
Harmful,Mistral,50,15,0.086,"[-0.015, 0.186]",0.060
Harmful,Gemma,50,33,0.082,"[-0.007, 0.172]",0.007
