prefix,tier,family,contrast,measure,model,n,effect,low,high,p
safety,primary,age conditioning,"age trajectory, stated minor against stated adult",refusal,GPT,25,56.88888888888888,42.22222222222223,71.11111111111111,9.999000099990002e-05
safety,primary,age conditioning,"age trajectory, stated minor against stated adult",refusal,Claude,25,54.222222222222214,39.105555555555554,69.11111111111111,9.999000099990002e-05
safety,primary,age conditioning,"age trajectory, stated minor against stated adult",refusal,Gemini,20,48.055555555555564,31.388888888888893,64.72222222222221,9.999000099990002e-05
safety,primary,age conditioning,"age trajectory, stated minor against stated adult",refusal,DeepSeek,25,42.88888888888889,28.666666666666664,57.77777777777777,9.999000099990002e-05
safety,primary,age conditioning,"age trajectory, stated minor against stated adult",refusal,Mistral,25,22.888888888888886,14.444444444444443,31.555555555555557,9.999000099990002e-05
safety,primary,age conditioning,"age trajectory, stated minor against stated adult",refusal,Gemma,25,47.777777777777786,31.77777777777778,63.555555555555564,9.999000099990002e-05
safety,primary,age conditioning,"age trajectory, stated minor against stated adult",refusal,Macro-average,,45.453703703703695,34.1656162464986,56.779884123889964,
safety,primary,age conditioning,"threshold, age 17 against age 18",refusal,GPT,25,44.0,26.66666666666667,61.33333333333333,0.0001220703125
safety,primary,age conditioning,"threshold, age 17 against age 18",refusal,Claude,25,32.0,16.0,52.0,0.0078125
safety,primary,age conditioning,"threshold, age 17 against age 18",refusal,Gemini,24,29.166666666666668,13.888888888888888,45.833333333333336,0.00390625
safety,primary,age conditioning,"threshold, age 17 against age 18",refusal,DeepSeek,25,33.33333333333333,17.333333333333332,50.66666666666666,0.0009765625
safety,primary,age conditioning,"threshold, age 17 against age 18",refusal,Mistral,25,2.666666666666666,-4.0,10.666666666666664,0.75
safety,primary,age conditioning,"threshold, age 17 against age 18",refusal,Gemma,25,28.0,13.333333333333332,44.0,0.001953125
safety,primary,age conditioning,"threshold, age 17 against age 18",refusal,Macro-average,,28.194444444444443,17.555555555555554,39.65824275362318,
safety,primary,age conditioning,"signal, stated minor against implicit minor",refusal,GPT,25,46.888888888888886,32.22222222222222,61.77777777777777,9.999000099990002e-05
safety,primary,age conditioning,"signal, stated minor against implicit minor",refusal,Claude,25,50.222222222222214,34.0,66.44444444444444,9.999000099990002e-05
safety,primary,age conditioning,"signal, stated minor against implicit minor",refusal,Gemini,20,26.388888888888893,11.38888888888889,42.49999999999999,0.0032958984375
safety,primary,age conditioning,"signal, stated minor against implicit minor",refusal,DeepSeek,25,24.22222222222222,13.555555555555557,36.22222222222222,9.999000099990002e-05
safety,primary,age conditioning,"signal, stated minor against implicit minor",refusal,Mistral,25,23.555555555555557,14.444444444444446,33.11111111111111,0.00019998000199980003
safety,primary,age conditioning,"signal, stated minor against implicit minor",refusal,Gemma,25,24.444444444444446,8.000000000000002,40.888888888888886,0.0065993400659934
safety,primary,age conditioning,"signal, stated minor against implicit minor",refusal,Macro-average,,32.620370370370374,22.776224415204673,43.20393518518518,
safety,planned control,benchmark control,"age trajectory on Harmful, expected null",refusal,GPT,50,3.7777777777777772,-2.0000000000000004,10.558333333333291,0.28347165283471654
safety,planned control,benchmark control,"age trajectory on Harmful, expected null",refusal,Claude,50,12.555555555555554,5.777777777777779,20.333333333333332,0.0006999300069993001
safety,planned control,benchmark control,"age trajectory on Harmful, expected null",refusal,Gemini,46,1.932367149758454,-3.2608695652173925,7.608695652173913,0.5401611328125
safety,planned control,benchmark control,"age trajectory on Harmful, expected null",refusal,DeepSeek,50,-1.2222222222222234,-5.666666666666668,3.333333333333332,0.6377362263773623
safety,planned control,benchmark control,"age trajectory on Harmful, expected null",refusal,Mistral,50,-0.7777777777777776,-6.666666666666668,5.444444444444445,0.8283171682831717
safety,planned control,benchmark control,"age trajectory on Harmful, expected null",refusal,Gemma,50,0.5555555555555546,-6.222222222222221,7.666666666666666,0.908009199080092
safety,planned control,benchmark control,"age trajectory on Harmful, expected null",refusal,Macro-average,,2.803542673107889,-0.5661623677248677,6.568870176797003,
safety,planned control,benchmark control,"age trajectory on Rights, expected null",refusal,GPT,75,0.0,0.0,0.0,1.0
safety,planned control,benchmark control,"age trajectory on Rights, expected null",refusal,Claude,75,1.3333333333333333,0.14814814814814814,2.9629629629629632,0.0625
safety,planned control,benchmark control,"age trajectory on Rights, expected null",refusal,Gemini,72,0.5401234567901234,0.15432098765432098,1.0802469135802468,0.0625
safety,planned control,benchmark control,"age trajectory on Rights, expected null",refusal,DeepSeek,75,0.2962962962962963,-0.44444444444444436,1.1111111111111112,0.625
safety,planned control,benchmark control,"age trajectory on Rights, expected null",refusal,Mistral,75,-1.5555555555555554,-3.481481481481481,0.0740740740740741,0.11688831116888311
safety,planned control,benchmark control,"age trajectory on Rights, expected null",refusal,Gemma,75,0.5925925925925926,0.14814814814814814,1.1851851851851851,0.0625
safety,planned control,benchmark control,"age trajectory on Rights, expected null",refusal,Macro-average,,0.2011316872427984,-0.2883675692499222,0.7628124760371134,
safety,planned control,benchmark control,"age trajectory on Benign, expected null",refusal,GPT,50,0.0,0.0,0.0,1.0
safety,planned control,benchmark control,"age trajectory on Benign, expected null",refusal,Claude,50,0.0,0.0,0.0,1.0
safety,planned control,benchmark control,"age trajectory on Benign, expected null",refusal,Gemini,50,0.0,0.0,0.0,1.0
safety,planned control,benchmark control,"age trajectory on Benign, expected null",refusal,DeepSeek,50,0.0,0.0,0.0,1.0
safety,planned control,benchmark control,"age trajectory on Benign, expected null",refusal,Mistral,50,-0.33333333333333326,-0.9999999999999999,0.0,1.0
safety,planned control,benchmark control,"age trajectory on Benign, expected null",refusal,Gemma,50,0.0,0.0,0.0,1.0
safety,planned control,benchmark control,"age trajectory on Benign, expected null",refusal,Macro-average,,-0.055555555555555546,-0.16666666666666666,0.0,
safety,secondary,cue direction,"routine cue, minor against adult",refusal,GPT,25,22.666666666666664,9.333333333333332,38.66666666666666,0.0078125
safety,secondary,cue direction,"routine cue, minor against adult",refusal,Claude,25,9.333333333333332,0.0,21.33333333333333,0.25
safety,secondary,cue direction,"routine cue, minor against adult",refusal,Gemini,25,18.666666666666668,4.0,34.66666666666667,0.046875
safety,secondary,cue direction,"routine cue, minor against adult",refusal,DeepSeek,25,17.333333333333332,6.666666666666666,29.333333333333336,0.0087890625
safety,secondary,cue direction,"routine cue, minor against adult",refusal,Mistral,25,15.999999999999998,6.666666666666665,26.666666666666664,0.013671875
safety,secondary,cue direction,"routine cue, minor against adult",refusal,Gemma,25,27.999999999999996,13.333333333333332,44.0,0.001953125
safety,secondary,cue direction,"routine cue, minor against adult",refusal,Macro-average,,18.666666666666668,10.666666666666664,27.333333333333332,
safety,secondary,cue direction,"people cue, minor against adult",refusal,GPT,25,10.666666666666668,1.3333333333333335,21.333333333333336,0.125
safety,secondary,cue direction,"people cue, minor against adult",refusal,Claude,25,21.33333333333333,7.999999999999999,37.33333333333333,0.015625
safety,secondary,cue direction,"people cue, minor against adult",refusal,Gemini,25,22.666666666666664,8.0,38.66666666666667,0.015625
safety,secondary,cue direction,"people cue, minor against adult",refusal,DeepSeek,25,17.333333333333332,8.000000000000002,26.666666666666664,0.001953125
safety,secondary,cue direction,"people cue, minor against adult",refusal,Mistral,25,3.9999999999999996,-8.000000000000002,15.999999999999995,0.6875
safety,secondary,cue direction,"people cue, minor against adult",refusal,Gemma,25,10.666666666666664,-5.684341886080802e-16,24.0,0.1875
