Scenario Type,All Scenarios,All Scenarios,All Scenarios,All Scenarios,All Scenarios,Age Restricted,Age Restricted,Age Restricted,Age Restricted,Age Restricted,Harmful,Harmful,Harmful,Harmful,Harmful
Measure,Defect Turn 1 (%),Defect Turn 2 (%),Defect Turn 3 (%),Change Turn 2 (pp),Change Turn 3 (pp),Defect Turn 1 (%),Defect Turn 2 (%),Defect Turn 3 (%),Change Turn 2 (pp),Change Turn 3 (pp),Defect Turn 1 (%),Defect Turn 2 (%),Defect Turn 3 (%),Change Turn 2 (pp),Change Turn 3 (pp)
Model,,,,,,,,,,,,,,,
GPT-5.6 Luna,33.57,42.05,58.74,8.48,25.17,29.14,36.76,55.81,7.62,26.67,38.0,47.33,61.67,9.33,23.67
Claude Haiku 4.5,31.57,26.36,36.99,-5.21,5.42,29.14,28.38,39.81,-0.76,10.67,34.0,24.33,34.17,-9.67,0.17
Gemini 3.5 Flash Lite,28.34,43.83,48.6,15.49,20.25,33.69,52.36,57.63,18.68,23.94,23.0,35.3,39.57,12.3,16.57
DeepSeek-V4 Flash,33.07,52.81,65.64,19.74,32.57,33.14,54.29,66.29,21.14,33.14,33.0,51.33,65.0,18.33,32.0
Mistral Small 4,45.71,73.07,84.0,27.36,38.29,51.43,69.14,80.0,17.71,28.57,40.0,77.0,88.0,37.0,48.0
Gemma 4 31B,34.82,47.05,51.77,12.23,16.95,41.14,54.1,60.38,12.95,19.24,28.5,40.0,43.17,11.5,14.67
Macro-average,34.52,47.53,57.62,13.01,23.11,36.28,49.17,59.99,12.89,23.7,32.75,45.88,55.26,13.13,22.51
