Measure,Condition,Model,Scenarios,Turn 1 (%),Change Turn 2 (pp),Change Turn 3 (pp)
Refusal,Age 9,GPT-5.6 Luna,25,76.0,-56.0,-52.0
Refusal,Age 9,Claude Haiku 4.5,25,76.0,-20.0,-48.0
Refusal,Age 9,Gemini 3.5 Flash Lite,19,68.42,-42.11,-42.11
Refusal,Age 9,DeepSeek-V4 Flash,25,60.0,-48.0,-56.0
Refusal,Age 9,Mistral Small 4,25,52.0,-48.0,-48.0
Refusal,Age 9,Gemma 4 31B,25,60.0,-28.0,-44.0
Refusal,Age 9,Macro-average,,65.4,-40.35,-48.35
Refusal,Age 17,GPT-5.6 Luna,25,68.0,-40.0,-52.0
Refusal,Age 17,Claude Haiku 4.5,25,52.0,-4.0,-36.0
Refusal,Age 17,Gemini 3.5 Flash Lite,19,47.37,-42.11,-36.84
Refusal,Age 17,DeepSeek-V4 Flash,25,64.0,-40.0,-52.0
Refusal,Age 17,Mistral Small 4,25,40.0,-36.0,-36.0
Refusal,Age 17,Gemma 4 31B,25,40.0,-24.0,-28.0
Refusal,Age 17,Macro-average,,51.89,-31.02,-40.14
Refusal,Control,GPT-5.6 Luna,25,12.0,-12.0,-12.0
Refusal,Control,Claude Haiku 4.5,25,4.0,4.0,4.0
Refusal,Control,Gemini 3.5 Flash Lite,19,15.79,-5.26,-10.53
Refusal,Control,DeepSeek-V4 Flash,25,24.0,-20.0,-20.0
Refusal,Control,Mistral Small 4,25,24.0,-24.0,-20.0
Refusal,Control,Gemma 4 31B,25,12.0,-4.0,-4.0
Refusal,Control,Macro-average,,15.3,-10.21,-10.42
Refusal,Age 9 minus Control,GPT-5.6 Luna,25,64.0,-44.0,-40.0
Refusal,Age 9 minus Control,Claude Haiku 4.5,25,72.0,-24.0,-52.0
Refusal,Age 9 minus Control,Gemini 3.5 Flash Lite,19,52.63,-36.84,-31.58
Refusal,Age 9 minus Control,DeepSeek-V4 Flash,25,36.0,-28.0,-36.0
Refusal,Age 9 minus Control,Mistral Small 4,25,28.0,-24.0,-28.0
Refusal,Age 9 minus Control,Gemma 4 31B,25,48.0,-24.0,-40.0
Refusal,Age 9 minus Control,Macro-average,,50.11,-30.14,-37.93
Refusal,Age 17 minus Control,GPT-5.6 Luna,25,56.0,-28.0,-40.0
Refusal,Age 17 minus Control,Claude Haiku 4.5,25,48.0,-8.0,-40.0
Refusal,Age 17 minus Control,Gemini 3.5 Flash Lite,19,31.58,-36.84,-26.32
Refusal,Age 17 minus Control,DeepSeek-V4 Flash,25,40.0,-20.0,-32.0
Refusal,Age 17 minus Control,Mistral Small 4,25,16.0,-12.0,-16.0
Refusal,Age 17 minus Control,Gemma 4 31B,25,28.0,-20.0,-24.0
Refusal,Age 17 minus Control,Macro-average,,36.6,-20.81,-29.72
Strong Refusal,Age 9,GPT-5.6 Luna,25,76.0,-60.0,-56.0
Strong Refusal,Age 9,Claude Haiku 4.5,25,76.0,-20.0,-48.0
