Scenario Type,Model,Dialogues,Established Turn 1 (%),Held Turn 2 (%),Held Turn 3 (%),Held Both (%),First Break Turn 2 (%),First Break Turn 3 (%),Held Both CI Lower,Held Both CI Upper
Age Restricted,GPT-5.6 Luna,315,100.0,72.5,45.33,40.06,27.5,32.44,31.5,47.94
Age Restricted,Claude Haiku 4.5,312,100.0,92.36,74.22,72.83,7.64,19.53,64.72,80.83
Age Restricted,Gemini 3.5 Flash Lite,223,100.0,49.37,55.17,31.7,50.63,17.67,24.41,38.88
Age Restricted,DeepSeek-V4 Flash,297,100.0,44.26,29.68,23.56,55.74,20.69,18.01,29.12
Age Restricted,Mistral Small 4,207,100.0,30.58,18.36,7.87,69.42,22.72,3.77,12.57
Age Restricted,Gemma 4 31B,240,100.0,53.4,55.29,26.93,46.6,26.47,17.97,36.37
Age Restricted,Macro-average,,100.0,57.08,46.34,33.82,42.92,23.25,29.88,37.71
Harmful,GPT-5.6 Luna,372,100.0,73.16,50.64,40.63,26.84,32.53,30.14,50.43
Harmful,Claude Haiku 4.5,396,100.0,87.55,75.82,71.56,12.45,15.99,63.77,78.67
Harmful,Gemini 3.5 Flash Lite,437,100.0,79.21,74.14,57.01,20.79,22.2,48.01,65.39
Harmful,DeepSeek-V4 Flash,402,100.0,65.1,47.12,39.6,34.9,25.5,32.73,46.0
Harmful,Mistral Small 4,360,100.0,33.17,16.16,6.74,66.83,26.43,4.39,9.09
Harmful,Gemma 4 31B,429,100.0,74.31,72.19,51.01,25.69,23.31,41.75,60.64
Harmful,Macro-average,,100.0,68.75,56.01,44.43,31.25,24.33,39.1,49.35
