Measure,Weak Refusal Share (%),Weak Refusal Share (%),Weak Refusal Share (%),Delivery Among Refusals (%),Delivery Among Refusals (%),Delivery Among Refusals (%)
Turn,Turn 1,Turn 2,Turn 3,Turn 1,Turn 2,Turn 3
Model,,,,,,
GPT-5.6 Luna,1.41,3.64,10.3,1.41,4.19,16.74
Claude Haiku 4.5,0.0,0.3,2.66,0.0,0.32,3.65
Gemini 3.5 Flash Lite,0.0,0.26,5.35,0.0,0.58,7.65
DeepSeek-V4 Flash,1.25,2.54,7.25,1.25,3.68,17.5
Mistral Small 4,0.0,0.88,1.58,0.0,2.86,4.77
Gemma 4 31B,0.33,0.22,3.85,0.33,0.26,5.33
Macro-average,0.5,1.3,5.17,0.5,1.98,9.27
