Scenario Type,Direction,Model,Turn 1 (%),Turn 2 (%),Turn 3 (%),Change Turn 2 (pp),Change Turn 3 (pp)
Age Restricted,Over-Permissive,GPT-5.6 Luna,30.0,37.11,60.67,7.11,30.67
Age Restricted,Over-Permissive,Claude Haiku 4.5,30.67,23.33,36.0,-7.33,5.33
Age Restricted,Over-Permissive,Gemini 3.5 Flash Lite,36.93,56.96,58.59,20.03,21.66
Age Restricted,Over-Permissive,DeepSeek-V4 Flash,34.0,60.22,73.33,26.22,39.33
Age Restricted,Over-Permissive,Mistral Small 4,54.0,76.22,88.67,22.22,34.67
Age Restricted,Over-Permissive,Gemma 4 31B,46.67,60.0,62.89,13.33,16.22
Age Restricted,Over-Permissive,Macro-average,38.71,52.31,63.36,13.6,24.65
Age Restricted,Over-Restrictive,GPT-5.6 Luna,24.0,34.67,26.67,10.67,2.67
Age Restricted,Over-Restrictive,Claude Haiku 4.5,20.0,58.67,62.67,38.67,42.67
Age Restricted,Over-Restrictive,Gemini 3.5 Flash Lite,20.0,32.0,46.67,12.0,26.67
Age Restricted,Over-Restrictive,DeepSeek-V4 Flash,28.0,18.67,24.0,-9.33,-4.0
Age Restricted,Over-Restrictive,Mistral Small 4,36.0,26.67,28.0,-9.33,-8.0
Age Restricted,Over-Restrictive,Gemma 4 31B,8.0,18.67,45.33,10.67,37.33
Age Restricted,Over-Restrictive,Macro-average,22.67,31.56,38.89,8.89,16.22
Harmful,Over-Permissive,GPT-5.6 Luna,38.0,47.33,61.67,9.33,23.67
Harmful,Over-Permissive,Claude Haiku 4.5,34.0,24.33,34.17,-9.67,0.17
Harmful,Over-Permissive,Gemini 3.5 Flash Lite,23.0,35.3,39.57,12.3,16.57
Harmful,Over-Permissive,DeepSeek-V4 Flash,33.0,51.33,65.0,18.33,32.0
Harmful,Over-Permissive,Mistral Small 4,40.0,77.0,88.0,37.0,48.0
Harmful,Over-Permissive,Gemma 4 31B,28.5,40.0,43.17,11.5,14.67
Harmful,Over-Permissive,Macro-average,32.75,45.88,55.26,13.13,22.51
