Contrast,Turn,Model,Defect Change Difference (pp),CI Lower,CI Upper
Emotional Pushback minus Purpose Reverse,Turn 2,GPT-5.6 Luna,-15.29,-21.25,-9.53
Emotional Pushback minus Purpose Reverse,Turn 2,Claude Haiku 4.5,3.61,-2.64,10.57
Emotional Pushback minus Purpose Reverse,Turn 2,Gemini 3.5 Flash Lite,-39.15,-50.54,-26.94
Emotional Pushback minus Purpose Reverse,Turn 2,DeepSeek-V4 Flash,-47.36,-55.11,-39.43
Emotional Pushback minus Purpose Reverse,Turn 2,Mistral Small 4,-31.43,-39.75,-23.46
Emotional Pushback minus Purpose Reverse,Turn 2,Gemma 4 31B,-54.36,-62.93,-45.5
Emotional Pushback minus Purpose Reverse,Turn 2,Macro-average,-30.66,-35.28,-25.97
Emotional Pushback minus Role Play,Turn 2,GPT-5.6 Luna,-39.93,-48.14,-31.53
Emotional Pushback minus Role Play,Turn 2,Claude Haiku 4.5,-25.57,-33.75,-17.57
Emotional Pushback minus Role Play,Turn 2,Gemini 3.5 Flash Lite,-28.65,-37.46,-19.13
Emotional Pushback minus Role Play,Turn 2,DeepSeek-V4 Flash,-43.57,-51.43,-35.5
Emotional Pushback minus Role Play,Turn 2,Mistral Small 4,-37.14,-45.36,-29.0
Emotional Pushback minus Role Play,Turn 2,Gemma 4 31B,-30.11,-38.18,-22.14
Emotional Pushback minus Role Play,Turn 2,Macro-average,-34.16,-38.74,-29.52
Purpose Reverse minus Role Play,Turn 2,GPT-5.6 Luna,-24.64,-32.43,-16.79
Purpose Reverse minus Role Play,Turn 2,Claude Haiku 4.5,-29.18,-38.54,-20.21
Purpose Reverse minus Role Play,Turn 2,Gemini 3.5 Flash Lite,10.5,0.1,20.73
Purpose Reverse minus Role Play,Turn 2,DeepSeek-V4 Flash,3.79,-3.89,11.29
Purpose Reverse minus Role Play,Turn 2,Mistral Small 4,-5.71,-10.79,-0.68
Purpose Reverse minus Role Play,Turn 2,Gemma 4 31B,24.25,12.29,36.46
Purpose Reverse minus Role Play,Turn 2,Macro-average,-3.5,-8.68,1.79
Emotional Pushback minus Purpose Reverse,Turn 3,GPT-5.6 Luna,42.11,34.14,50.0
Emotional Pushback minus Purpose Reverse,Turn 3,Claude Haiku 4.5,31.68,23.11,40.43
Emotional Pushback minus Purpose Reverse,Turn 3,Gemini 3.5 Flash Lite,17.17,8.64,25.74
Emotional Pushback minus Purpose Reverse,Turn 3,DeepSeek-V4 Flash,-5.96,-14.68,3.14
Emotional Pushback minus Purpose Reverse,Turn 3,Mistral Small 4,5.46,0.71,10.46
Emotional Pushback minus Purpose Reverse,Turn 3,Gemma 4 31B,9.46,-1.79,20.64
Emotional Pushback minus Purpose Reverse,Turn 3,Macro-average,16.65,12.1,21.34
Emotional Pushback minus Role Play,Turn 3,GPT-5.6 Luna,1.43,-7.61,10.68
Emotional Pushback minus Role Play,Turn 3,Claude Haiku 4.5,-15.04,-23.86,-6.32
Emotional Pushback minus Role Play,Turn 3,Gemini 3.5 Flash Lite,-9.2,-20.31,2.13
Emotional Pushback minus Role Play,Turn 3,DeepSeek-V4 Flash,-25.54,-34.0,-16.53
Emotional Pushback minus Role Play,Turn 3,Mistral Small 4,-0.32,-5.04,4.75
Emotional Pushback minus Role Play,Turn 3,Gemma 4 31B,-17.79,-29.46,-5.46
Emotional Pushback minus Role Play,Turn 3,Macro-average,-11.07,-17.92,-3.99
Purpose Reverse minus Role Play,Turn 3,GPT-5.6 Luna,-40.68,-49.43,-31.75
Purpose Reverse minus Role Play,Turn 3,Claude Haiku 4.5,-46.71,-55.46,-37.64
Purpose Reverse minus Role Play,Turn 3,Gemini 3.5 Flash Lite,-26.36,-35.9,-17.54
Purpose Reverse minus Role Play,Turn 3,DeepSeek-V4 Flash,-19.57,-27.5,-11.96
Purpose Reverse minus Role Play,Turn 3,Mistral Small 4,-5.79,-10.86,-0.93
Purpose Reverse minus Role Play,Turn 3,Gemma 4 31B,-27.25,-37.96,-16.82
Purpose Reverse minus Role Play,Turn 3,Macro-average,-27.73,-33.01,-22.64
