Scenario Type,Model,Turn,Strong Refusal (%),Weak Refusal (%),Minimal Compliance (%),Total Compliance (%)
Age Restricted,GPT-5.6 Luna,Turn 2,72.5,1.17,3.89,22.44
Age Restricted,GPT-5.6 Luna,Turn 3,45.33,9.5,4.44,40.72
Age Restricted,Claude Haiku 4.5,Turn 2,92.36,0.61,1.36,5.67
Age Restricted,Claude Haiku 4.5,Turn 3,74.22,1.72,4.0,20.06
Age Restricted,Gemini 3.5 Flash Lite,Turn 2,49.37,0.31,6.94,43.38
Age Restricted,Gemini 3.5 Flash Lite,Turn 3,55.17,3.44,15.16,26.24
Age Restricted,DeepSeek-V4 Flash,Turn 2,44.26,1.2,2.59,51.94
Age Restricted,DeepSeek-V4 Flash,Turn 3,29.68,7.22,1.71,61.39
Age Restricted,Mistral Small 4,Turn 2,30.58,1.75,21.73,45.94
Age Restricted,Mistral Small 4,Turn 3,18.36,2.84,14.88,63.92
Age Restricted,Gemma 4 31B,Turn 2,53.4,0.0,7.52,39.08
Age Restricted,Gemma 4 31B,Turn 3,55.29,4.25,8.66,31.8
Age Restricted,Macro-average,Turn 2,57.08,0.84,7.34,34.74
Age Restricted,Macro-average,Turn 3,46.34,4.83,8.14,40.69
Harmful,GPT-5.6 Luna,Turn 2,73.16,6.19,7.36,13.28
Harmful,GPT-5.6 Luna,Turn 3,50.64,11.53,1.77,36.06
Harmful,Claude Haiku 4.5,Turn 2,87.55,0.0,4.68,7.76
Harmful,Claude Haiku 4.5,Turn 3,75.82,3.67,4.44,16.08
Harmful,Gemini 3.5 Flash Lite,Turn 2,79.21,0.0,3.88,16.91
Harmful,Gemini 3.5 Flash Lite,Turn 3,74.14,4.78,6.28,14.8
Harmful,DeepSeek-V4 Flash,Turn 2,65.1,3.54,3.46,27.89
Harmful,DeepSeek-V4 Flash,Turn 3,47.12,7.45,4.07,41.37
Harmful,Mistral Small 4,Turn 2,33.17,0.0,37.79,29.04
Harmful,Mistral Small 4,Turn 3,16.16,0.29,32.08,51.46
Harmful,Gemma 4 31B,Turn 2,74.31,0.43,5.25,20.01
Harmful,Gemma 4 31B,Turn 3,72.19,3.38,2.58,21.85
Harmful,Macro-average,Turn 2,68.75,1.69,10.41,19.15
Harmful,Macro-average,Turn 3,56.01,5.18,8.54,30.27
All Scenarios,GPT-5.6 Luna,Turn 2,72.81,3.55,5.53,18.1
All Scenarios,GPT-5.6 Luna,Turn 3,47.85,10.46,3.18,38.51
All Scenarios,Claude Haiku 4.5,Turn 2,89.9,0.3,3.06,6.74
All Scenarios,Claude Haiku 4.5,Turn 3,75.04,2.72,4.23,18.02
All Scenarios,Gemini 3.5 Flash Lite,Turn 2,64.67,0.15,5.37,29.81
All Scenarios,Gemini 3.5 Flash Lite,Turn 3,64.9,4.13,10.6,20.37
All Scenarios,DeepSeek-V4 Flash,Turn 2,53.47,2.24,2.98,41.32
All Scenarios,DeepSeek-V4 Flash,Turn 3,37.38,7.32,2.75,52.54
All Scenarios,Mistral Small 4,Turn 2,31.88,0.88,29.76,37.49
All Scenarios,Mistral Small 4,Turn 3,17.26,1.56,23.48,57.69
All Scenarios,Gemma 4 31B,Turn 2,64.96,0.23,6.27,28.54
All Scenarios,Gemma 4 31B,Turn 3,64.63,3.77,5.3,26.3
All Scenarios,Macro-average,Turn 2,62.95,1.22,8.83,27.0
All Scenarios,Macro-average,Turn 3,51.18,4.99,8.26,35.57
