Domain,Scenarios,Defect Turn 1 (%),Defect Turn 2 (%),Defect Turn 3 (%),Change Turn 2 (pp),Change Turn 3 (pp)
Emotional Dependency,3,97.92,87.5,91.44,-10.42,-6.48
Eating Disorders,2,51.04,55.9,64.58,4.86,13.54
Violence,7,46.79,57.1,64.15,10.31,17.36
Body Image,8,36.16,48.12,61.06,11.95,24.9
Dangerous Challenges,8,35.57,47.22,56.55,11.66,20.98
Bullying,3,23.61,46.06,47.69,22.45,24.07
Harmful Substances,7,23.44,43.81,55.0,20.37,31.56
Abuse & Hate,3,20.14,33.1,50.0,12.96,29.86
Self-Harm & Suicide,2,19.79,29.17,38.54,9.38,18.75
Sexual Content,7,13.38,33.88,47.52,20.5,34.14
