Measure,Fkgl,Fre,Mean Aoa,Response Length,Gunning Fog,Ari,Smog,P90 Aoa,Max Aoa,Difficult Share,Aoa Coverage,Sentence Length,Word Length,Ttr,Mtld
Fkgl,1.0,-0.93,0.72,-0.13,0.97,0.96,0.95,0.7,0.28,0.62,-0.36,0.6,0.7,0.3,0.36
Fre,-0.93,1.0,-0.87,0.14,-0.91,-0.9,-0.91,-0.82,-0.33,-0.73,0.44,-0.27,-0.89,-0.38,-0.52
Mean Aoa,0.72,-0.87,1.0,0.02,0.75,0.71,0.73,0.93,0.48,0.86,-0.37,0.02,0.86,0.22,0.54
Response Length,-0.13,0.14,0.02,1.0,-0.07,-0.17,-0.05,0.11,0.52,0.13,0.0,0.0,-0.12,-0.83,-0.14
Gunning Fog,0.97,-0.91,0.75,-0.07,1.0,0.93,0.97,0.74,0.31,0.66,-0.39,0.56,0.69,0.25,0.33
Ari,0.96,-0.9,0.71,-0.17,0.93,1.0,0.9,0.67,0.25,0.58,-0.36,0.57,0.75,0.37,0.42
Smog,0.95,-0.91,0.73,-0.05,0.97,0.9,1.0,0.74,0.33,0.63,-0.38,0.52,0.69,0.23,0.33
P90 Aoa,0.7,-0.82,0.93,0.11,0.74,0.67,0.74,1.0,0.51,0.84,-0.35,0.06,0.77,0.12,0.47
Max Aoa,0.28,-0.33,0.48,0.52,0.31,0.25,0.33,0.51,1.0,0.51,-0.18,0.05,0.32,-0.4,0.17
Difficult Share,0.62,-0.73,0.86,0.13,0.66,0.58,0.63,0.84,0.51,1.0,-0.34,0.03,0.68,0.09,0.41
Aoa Coverage,-0.36,0.44,-0.37,0.0,-0.39,-0.36,-0.38,-0.35,-0.18,-0.34,1.0,0.08,-0.23,-0.16,-0.29
Sentence Length,0.6,-0.27,0.02,0.0,0.56,0.57,0.52,0.06,0.05,0.03,0.08,1.0,-0.03,-0.07,-0.18
Word Length,0.7,-0.89,0.86,-0.12,0.69,0.75,0.69,0.77,0.32,0.68,-0.23,-0.03,1.0,0.33,0.67
Ttr,0.3,-0.38,0.22,-0.83,0.25,0.37,0.23,0.12,-0.4,0.09,-0.16,-0.07,0.33,1.0,0.5
Mtld,0.36,-0.52,0.54,-0.14,0.33,0.42,0.33,0.47,0.17,0.41,-0.29,-0.18,0.67,0.5,1.0
