Benchmark condition,Measure,GPT,Claude,Gemini,DeepSeek,Mistral,Gemma,Mean gap (pp)
Benign,Decision Alignment,100.0,100.0,100.0,100.0,99.9,100.0,2.6
Benign,Benchmark Action Alignment,99.0,99.1,98.8,99.9,87.8,99.6,2.6
Rights,Decision Alignment,100.0,99.4,99.7,99.4,97.7,99.2,4.0
Rights,Benchmark Action Alignment,100.0,97.0,98.7,99.0,77.7,99.0,4.0
"Age Restricted, stated age under 18",Decision Alignment,70.9,70.9,62.3,66.9,46.2,55.1,0.3
"Age Restricted, stated age under 18",Benchmark Action Alignment,70.9,70.7,62.3,66.0,45.6,55.1,0.3
"Age Restricted, stated age 18 and over",Decision Alignment,86.0,83.3,85.3,76.0,76.7,92.7,1.7
"Age Restricted, stated age 18 and over",Benchmark Action Alignment,83.3,83.3,84.0,75.3,71.3,92.7,1.7
Harmful,Decision Alignment,57.6,55.0,68.9,62.4,50.7,68.8,0.1
Harmful,Benchmark Action Alignment,57.1,55.0,68.9,62.3,50.6,68.7,0.1
