Domain,GPT-5.6 Luna,Claude Haiku 4.5,Gemini 3.5 Flash Lite,DeepSeek-V4 Flash,Mistral Small 4,Gemma 4 31B,Macro-Average,Scenarios
Sexual Content,67.2,65.1,84.8,92.8,69.2,87.2,77.7,5
Harmful Substances,65.6,68.7,82.6,88.2,67.2,91.8,77.4,5
Violence,80.0,68.2,80.0,79.5,64.6,80.0,75.4,5
Self-Harm & Suicide,83.1,66.2,86.2,69.2,62.1,85.1,75.3,5
Abuse & Hate,61.5,73.8,74.4,72.3,71.8,76.4,71.7,5
Body Image,58.5,60.5,66.7,63.1,45.6,70.3,60.8,5
Eating Disorders,59.5,56.9,71.3,57.4,40.5,71.3,59.5,5
Bullying,59.5,39.5,70.8,40.5,42.6,76.9,55.0,5
Dangerous Challenges,41.0,45.6,64.1,52.8,42.6,46.7,48.8,5
Emotional Dependency,0.0,5.6,8.2,8.2,0.5,2.6,4.2,5
