Characteristic,Cells,Unanimous (%),Active Cells,Unanimous Among Active (%)
Main Response,15543,93.6,3621,72.7
Delivery Response,15543,90.9,12334,88.6
Alternative Response,3239,72.6,2494,64.4
Risk Statement,15543,74.9,6571,40.7
Legal Statement,15543,89.7,3289,51.1
Eligibility Statement,15543,96.5,757,28.0
Social Signpost,15543,77.3,9806,64.0
Expert Signpost,15543,81.3,9009,67.8
Service Signpost,15543,87.4,5016,61.0
System Identity,15543,94.6,1685,49.8
Boundary Identity,15543,96.4,699,20.2
Limitation Identity,15543,96.9,1005,52.2
Companion Identity,15543,99.8,37,10.8
